ID_ORGANIGRAMME,DATE_FIN,DATE_DEBUT,DATE_VERROU,LABEL,DELETED,UTILISATEUR_VERROU,ID_PARENT_ENTITE,ID_PARENT_UNITE,ID_PARENT_INSTITUTION,CHARGE_MISSION_SGG,POSTE_BDC,SUPERVISEUR_SGG,CONSEILLER_PM,POSTE_WS,WS_URL,WS_LOGIN,WS_MDP,WS_CLE,MEMBRES,FUNCTION_READ
"50000609",null,"06-05-04T02:00:000",null,"Agents DGCIS",0,null,null,"50000608",null,0,0,0,0,0,null,null,null,null,"DGCIS-SCD;DGCIS-SDAJDE;DGCIS-SDCAPL;DGCIS-SDCC;DGCIS-SDT;DGCIS-SG1;DGCIS-SG2;DGCIS-SQUALP;DGCIS-STIC",null
"50000611",null,"06-05-04T02:00:000",null,"Conseiller Budget, Ref Etat, FP  PM",0,null,null,"50000610",null,0,0,0,0,0,null,null,null,null,"JDUBERTRET;SBUDGETAIRE;agentmgpp;responsablemgpp",null
"50000612",null,"06-05-04T02:00:000",null,"Conseiller Aff. éco et finances PM",0,null,null,"50000610",null,0,0,0,0,0,null,null,null,null,"CBAVAGNOLI;SECFINANCES;SFINANCES",null
"50000613",null,"06-05-04T02:00:000",null,"Conseiller dev durable, recher, indus PM",0,null,null,"50000610",null,0,0,0,0,0,null,null,null,null,"MBONNET;SECINDUSTRIE",null
"50000620",null,"06-09-08T02:00:000",null,"Conseiller pour les affaires économiques",0,null,null,"50000619",null,0,0,0,0,0,null,null,null,null,"ALECOURTIER;LFOURQUET;MFOERSTER",null
"50000621",null,"06-09-08T02:00:000",null,"Chargée de mission intérieur DOM-TOM",0,null,null,"50000619",null,0,0,0,0,0,null,null,null,null,"MLPESNEAUD;SRIMEU",null
"50000622",null,"06-09-08T02:00:000",null,"Chargé de mission équipement logement",0,null,null,"50000619",null,0,0,0,0,0,null,null,null,null,"FPUIGSERVER;LLAGARDE",null
"50000627",null,"06-05-04T02:00:000",null,"Conseiller Affaires intérieures PM",0,null,null,"50000610",null,0,0,0,0,0,null,null,null,null,"DROBIN;SECINTERIEUR",null
"50000628",null,"06-05-04T02:00:000",null,"(Ancien) Conseiller dev durable PM",0,null,null,"50000610",null,0,0,0,0,0,null,null,null,null,"ADMIN-SOLON",null
"50000642",null,"06-05-04T02:00:000",null,"Secrétaire de la section des finances",0,null,null,"50000634",null,0,0,0,0,0,null,null,null,null,"CVIERRON;JMTISSIER;MALTENOR;NVENTÔSE;PGAZZOLA;VGALY",null
"50000643",null,"06-05-04T02:00:000",null,"Secrétaire de la section de l'intérieur",0,null,null,"50000637",null,0,0,0,0,0,null,null,null,null,"FKERBANE;KVERDU;LLEANDRI;NBELVEZET;NPLANCHETTE;SRAMONDOU",null
"50000644",null,"06-05-04T02:00:000",null,"Secrétaire de la section des travx pubs",0,null,null,"50000638",null,0,0,0,0,0,null,null,null,null,"AMICALOWA;GBIJU;NPELAT;SNEVERS",null
"50000645",null,"06-05-04T02:00:000",null,"Secrétaire de la section sociale",0,null,null,"50000639",null,0,0,0,0,0,null,null,null,null,"FBARRIER;FTROUYET;JBEYGUESIER;MAMORERE;MLEDUC;PREMY;TBRETON",null
"50000647",null,"06-05-04T02:00:000",null,"Agents direction du budget",0,null,null,"50000646",null,0,0,0,0,0,null,null,null,null,"D-BUDGET",null
"50000652",null,"07-06-04T02:00:000",null,"Bureau du Cabinet (Ecologie)",0,null,null,"50000984",null,0,0,0,0,0,null,null,null,null,"CPOINSARD;FFRIQUET;FIGLESIAS;JMGEUS;MROULEAU;RGUIGUES;ecologie_bdc",null
"50000656",null,"07-11-19T01:00:000",null,"Agents BDC (Economie)",0,null,null,"50000655",null,0,1,0,0,0,null,null,null,null,"CPAROLINI;FISAIA;JCHIFFRE;MDALLARD;PETCHEVERRY;SEC-BDC",null
"50000658",null,"10-06-23T02:00:000",null,"Agents DRH1 (Economie)",0,null,null,"50000889",null,0,0,0,0,0,null,null,null,null,"SG-DRH1",null
"50000660",null,"06-05-04T02:00:000",null,"DGT-AMD (Economie)",0,null,null,"50000659",null,0,0,0,0,0,null,null,null,null,"DGT-AMD",null
"50000682",null,"07-04-24T02:00:000",null,"Chargé de missions DILA",0,null,null,"50000629",null,0,0,0,0,0,null,null,null,null,"GBOURDA;JMHELBECQUE;PVIRUEGA",null
"50000685",null,"06-05-04T02:00:000",null,"Responsable du dépt activité normative",0,null,null,"50000624",null,0,0,0,0,0,null,null,null,null,"DARMIN;contributeuransgg",null
"50000739",null,"06-05-10T02:00:000",null,"Agents du service de documentation",0,null,null,"50000737",null,0,0,0,0,0,null,null,null,null,"DOCUMS;JURISTES;PPETITCOLLOT;SBONNISSENT;SPONS;documentalistesgg;documentalistesggpostpub",null
"50000761",null,"06-05-12T02:00:000",null,"Directeur du Cab. PM",0,null,null,"50000610",null,0,0,0,0,0,null,null,null,null,"JPFAUGERE;SECDIRCABPM",null
"50000788",null,"06-05-18T02:00:000",null,"testeurs",0,null,null,"50000648",null,0,0,0,0,0,null,null,null,null,"N_CONTRIB_1;N_CONTRIB_2;N_CONTRIB_3;N_CONTRIB_5;XCHEN",null
"50000810",null,"06-05-19T02:00:000",null,"Dir. affaires juridiques (SG-DAJ)",0,null,null,"50000653",null,0,0,0,0,0,null,null,null,null,"ADESBROSSES;FPEROUZE;PCAPS;VIGIE-DAJ",null
