ID_ORGANIGRAMME,DATE_FIN,DATE_DEBUT,DATE_VERROU,LABEL,DELETED,UTILISATEUR_VERROU,ID_PARENT_ENTITE,ID_PARENT_UNITE,ID_PARENT_INSTITUTION,TYPE,FUNCTION_READ,NOR_DIRECTION
50000615,null,2006-05-04 02:00:00.0,null,Secrétariat général du Gouvernement,0,null,50000607,null,null,UST,null,null
50000619,null,2006-05-04 02:00:00.0,null,Chargés de mission au SGG,0,null,null,50000615,null,UST,null,null
50000983,null,2006-05-04 02:00:00.0,null,Service législation et qualité du droit,0,null,null,50000615,null,UST,null,null
50000624,null,2007-01-02 01:00:00.0,null,Département de l'activité normative,0,null,null,50000983,null,UST,null,null
50000629,null,2006-05-04 02:00:00.0,null,Direction des journaux officiels,0,null,null,50000615,null,DIR,null,null
50000631,null,2006-05-04 02:00:00.0,null,service de la rédaction DJO,0,null,null,50000629,null,UST,null,null
50000634,null,2006-05-04 02:00:00.0,null,Section des finances,0,null,null,null,null,UST,null,null
50000637,null,2006-05-04 02:00:00.0,null,Section de l'intérieur,0,null,null,null,null,UST,null,null
50000638,null,2006-05-04 02:00:00.0,null,Section des travaux publics,0,null,null,null,null,UST,null,null
50000639,null,2006-05-04 02:00:00.0,null,Section sociale,0,null,null,null,null,UST,null,null
50000640,null,2006-05-04 02:00:00.0,null,Section CE (à préciser),0,null,null,null,null,UST,null,null
50000646,null,2006-05-04 02:00:00.0,null,Direction du budget,0,null,50013998,null,null,DIR,null,null
50000648,null,2006-05-04 02:00:00.0,null,DGME,0,null,50013998,null,null,UST,null,null
50000653,null,2007-06-04 02:00:00.0,null,DGA  (MEDAD),0,null,50000976,null,null,UST,null,null
50000655,null,2006-05-04 02:00:00.0,null,Bureau des Cabinets (Economie),0,null,50000507,null,null,UST,null,null
50000657,null,2006-05-04 02:00:00.0,null,DPAEP (Economie),0,null,50000507,null,null,UST,null,null
50000659,null,2006-05-04 02:00:00.0,null,DGTPE - lettre T (Economie),0,null,50000507,null,null,UST,null,null
50000666,null,2006-05-04 02:00:00.0,null,Direction gale de la police nationale,0,null,50000632,null,null,DIR,null,null
50000737,null,2006-05-10 02:00:00.0,null,Service de documentation,0,null,null,50000615,null,UST,null,null
50000817,null,2007-06-04 02:00:00.0,null,DGEMP (MEDAD),0,null,50000976,null,null,UST,null,null
50000832,null,2007-06-04 02:00:00.0,null,Direction de l'eau (MEDAD),0,null,50000976,null,null,DIR,null,null
50000833,null,2007-06-04 02:00:00.0,null,Dir. préventions pollutions et risques,0,null,50000976,null,null,DIR,null,null
50000834,null,2007-06-04 02:00:00.0,null,Direction nature et paysage (MEDAD),0,null,50000976,null,null,DIR,null,null
50000835,null,2007-06-04 02:00:00.0,null,Dir. études éco et éval. env. (MEDAD),0,null,50000976,null,null,DIR,null,null
50000836,null,2006-06-07 02:00:00.0,null,DGCCRF (Economie),0,null,50000507,null,null,UST,null,null
50000837,null,2006-06-07 02:00:00.0,null,DGI,0,null,50013998,null,null,UST,null,null
50000838,null,2006-06-07 02:00:00.0,null,DGCP,0,null,50013998,null,null,UST,null,null
50000865,null,2006-05-04 02:00:00.0,null,Cabinet Intérieur,0,null,50000632,null,null,UST,null,null
50000866,null,2006-05-04 02:00:00.0,null,Direction générale des Coll. Locales,0,null,50000632,null,null,DIR,null,null
50000867,null,2006-05-04 02:00:00.0,null,Direction des Lib. Pub. et des Aff. Jur.,0,null,50000632,null,null,DIR,null,null
50000868,null,2006-05-04 02:00:00.0,null,Direction de la Déf. et de la Séc. Civ.,0,null,50000632,null,null,DIR,null,null
50000870,null,2006-05-04 02:00:00.0,null,Direction des sys. d'inf. et de com.,0,null,50000632,null,null,DIR,null,null
50000871,null,2006-05-04 02:00:00.0,null,Inspection Gale de l'Admin. (Intérieur),0,null,50000632,null,null,UST,null,null
50000872,null,2006-05-04 02:00:00.0,null,Délégation à l'inf. et la communication,0,null,50000632,null,null,UST,null,null
50000889,null,2006-09-12 02:00:00.0,null,Secrétariat général (Economie),0,null,50000507,null,null,UST,null,null
50000946,null,2007-02-09 01:00:00.0,null,Bureau du cabinet MAE,0,null,50000937,null,null,UST,null,null
50000947,null,2007-02-09 01:00:00.0,null,Dir. générale de l'administration MAE,0,null,50000937,null,null,DIR,null,null
50000948,null,2007-06-04 02:00:00.0,null,Dir. Fr étranger et étrangers en France,0,null,50000937,null,null,DIR,null,null
50000949,null,2007-02-09 01:00:00.0,null,Direction des affaires juridiques MAE,0,null,50000937,null,null,DIR,null,null
50000950,null,2007-02-09 01:00:00.0,null,Service du Protocole,0,null,50000937,null,null,UST,null,null
50000951,null,2007-02-09 01:00:00.0,null,Haut Fonctionnaire Corr. de Déf et Séc.,0,null,50000937,null,null,UST,null,null
50000952,null,2007-02-09 01:00:00.0,null,Dir. Gale de la Coop. Internat. et Dév.,0,null,50000937,null,null,DIR,null,null
50000953,null,2007-02-09 01:00:00.0,null,Direction des Archives et de la Doc.,0,null,50000937,null,null,DIR,null,null
50000954,null,2007-02-13 01:00:00.0,null,DGDDI,0,null,50013998,null,null,UST,null,null
50000955,null,2007-02-13 01:00:00.0,null,Service des Pensions,0,null,50013998,null,null,UST,null,null
50000962,null,2007-01-02 01:00:00.0,null,Mission DPDD,0,null,null,50000983,null,UST,null,null
50000963,null,2007-01-02 01:00:00.0,null,Mission qualité de la norme,0,null,null,50000983,null,UST,null,null
50000984,null,2007-02-08 01:00:00.0,null,Bureau du Cab. MEDAD,0,null,50000976,null,null,UST,null,null
50000986,null,2007-02-08 01:00:00.0,null,Service de défense et de sécurité (SDS),0,null,50000976,null,null,UST,null,null
50000987,null,2007-02-08 01:00:00.0,null,Conseil gal des ponts et chaussées,0,null,50000976,null,null,UST,null,null
50000988,null,2007-02-08 01:00:00.0,null,DGPA (MEDAD),0,null,50000976,null,null,UST,null,null
50000989,null,2007-02-08 01:00:00.0,null,Délégation à l'action foncière (DAF),0,null,50000976,null,null,UST,null,null
50000990,null,2007-02-08 01:00:00.0,null,"BDC ""Grenelle""",0,null,50000969,null,null,UST,null,null
50000991,null,2007-02-08 01:00:00.0,null,Secrétariat général MEDAD,0,null,50000976,null,null,UST,null,null
