"id","label"
"PROCEDURE_LEGISLATIVE","Procédure législative"
"ORGANISATION_SESSION_EXTRAORDINAIRE","Organisation des sessions extraordinaires"
"REVISION_CONSTITUTION","Révision de la constitution"
"CONSULTATION_ASSEMBLEE_PROJET_NOMINATION","Consultation des assemblées sur les projets de nomination"
"CONVOCATION_CONGRES","Convocation du congrès au titre de l'article 18 de la constitution"
"DEMANDE_PROLONGATION_AMNISTIE","Amnistie" 
"ARRETE_MINISTERIEL","Arrêté ministériel"
"ARRETE_MINISTERIEL_INDIVIDUEL","Arrêté ministériel (individuel)"
"ARRETE_INTERMINISTERIEL","Arrêté interministériel"
"ARRETE_INTERMINISTERIEL_INDIVIDUEL","Arrêté interministériel (individuel)"
"ARRETE","Arrêté du Premier ministre"
"ARRETE_PM","Arrêté du Premier ministre (individuel)"
"ARRETE_PM_INDIVIDUEL","Arrêté du Président de la République"
"ARRETE_PR","Arrêté du Président de la République (individuel)"
"AVENANT","Avenant"
"AVIS","Avis"
"CIRCULAIRE","Circulaire"
"CITATION","Citation"
"COMMUNIQUE","Communiqué"
"CONVENTION","Convention"
"DECISION","Décision"
"DECRET_CE_ART_37","Décret en Conseil d'Etat de l'article 37 second alinéa de la Constitution"
"DECRET_CE","Décret en Conseil d'Etat"
"DECRET_CE_INDIVIDUEL","Décret en Conseil d'Etat (individuel)"
"DECRET_CE_CM","Décret en Conseil d'Etat et conseil des ministres"
"DECRET_CE_CM_INDIVIDUEL","Décret en Conseil d'Etat et conseil des ministres (individuel)"
"DECRET_CM","Décret en conseil des ministres"
"DECRET_CM_INDIVIDUEL","Décret en conseil des ministres (individuel)"
"DECRET_PR","Décret du Président de la République"
"ARRETE_PR_INDIVIDUEL","Décret du Président de la République (individuel)"
"DECRET_SIMPLE","Décret simple"
"DECRET_SIMPLE_INDIVIDUEL","Décret simple (individuel)"
"DECRET_PUBLICATION_TRAITE_OU_ACCORD","Décret de publication de traité ou accord"
"DELIBERATION","Délibération"
"DEMANDE_AVIS_CE","Demande d'avis au Conseil d'Etat"
"DIVERS","Divers"
"EXEQUATUR","Exequatur"
"INSTRUCTION","Instruction"
"LISTE","Liste"
"LOI","Loi"
"LOI_ART_53_CONSTITUTION","Loi de l'article 53 de la Constitution"
"LOI_CONSTITUTIONNELLE","Loi constitutionnelle"
"LOI_ORGANIQUE","Loi organique"
"NOTE","Note"
"ORDONNANCE","Ordonnance"
"RAPPORT","Rapport"
"RECTIFICATIF","Rectificatif"
"TABLEAU","Tableau"
