"id","label"
"LOI_CONSTITUTIONNELLE","Loi constitutionnelle"
"LOI_REFERENDAIRE","Loi référendaire"
"LOI_ORGANIQUE","Loi organique"
"LOI_FINANCE","Loi de finances"
"LOI_FINANCE_RECTIFICATIVE","Loi de finances rectificative"
"LOI_REGLEMENT","Loi de règlement"
"LOI_FINANCEMENT_SECURITE_SOCIALE","Loi de financement de la sécurité sociale"
"ART_53_CONST","Loi autorisant la ratification ou l'approbation de traités ou accords internationaux"
"LOI_PROGRAMMATION","Loi de programmation"
"LOI_ORIENTATION","Loi d'orientation"
"LOI","Loi"
"LOI_CADRE","Loi cadre"
"LOI_FINANCEMENT_SECURITE_SOCIALE_RECTIFICATIVE","Loi de financement de la sécurité sociale rectificative"
