"id","label"
"TEXTE","Texte(s)"
"EXPOSE_DES_MOTIFS","Exposé des motifs"
"ETUDE_IMPACT","Étude d'impact"
"DECRET_PRESENTATION","Décret de présentation"
"LETTRE_PM","Lettre Premier Ministre"
"TRAITE","Traité"
"ACCORD_INTERNATIONAL","Accord international"
"AUTRE","Autre(s)"
"ANNEXE","Annexe(s)"
"AVIS","Avis"
"COHERENT","Cohérent"
"COPIES_3_LETTRES_TRANSMISSION","Copies 3 lettres transmission Vélins Petite loi (Congrès)"
"DECRET_PRESIDENT_REPUBLIQUE","Décret du Président de la République"
"LETTRE","Lettre"
"LETTRE_CONJOINTE_PRESIDENTS","Lettre conjointe des Présidents"
"LETTRE_SAISINE_CC","Lettre de saisine du Conseil constitutionnel"
"LETTRE_PM_VERS_AN","Lettre Premier Ministre à l'Assemblée Nationale"
"LETTRE_PM_VERS_SENAT","Lettre Premier Ministre au Sénat"
"LETTRE_TRANSMISSION","Lettre Transmission"
"LISTE_ANNEXES","Liste des annexes"
"PETITE_LOI","Petite loi"
"RAPPORT","Rapport"
"TEXTE_ADOPTE","Texte adopté"
"TEXTE_MOTION","Texte de la motion"
"TEXTE_TRANSMIS","Texte transmis"
"TRAVAUX_PREPARATOIRES","Travaux préparatoires"
"CURRICULUM_VITAE","Curriculum vitae"
"AMPLIATION_DECRET","Ampliation Décret Président de la République"
"AMPLIATION_DECRET_PRESIDENT_REPUBLIQUE","Ampliation Décret Président de la République"
"ECHEANCIER","Echéancier"
"INSERTION_JOLD","Insertions au JO-LD"
"DEMANDE_DECLARATION","Demande de déclaration"
"DOCUMENTS","Documents"
